UNIT_NAME,REGION
松林#1&amp;2, East
七美,Islands
七股,South
中大,North
中威大安,Central
中港,Central
中火,Central
中科ES,Central
中能風(註10),Central
中部儲運,Central
中部小水力,Central
中部小水力(註6),Central
允湖(註10),Central
允西(註10),Central
其它台電自有,Other
其它購電太陽能,Other
其它購電風力,Other
創維風,Central
北儲,North
北部小水力,North
北部小水力(註6),North
卑南,East
卓蘭,Central
卓蘭#1,Central
卓蘭#2,Central
協和#3,North
協和#4,North
南部CC#1,South
南部CC#2,South
南部CC#3,South
南部CC#4,South
南部小水力,South
南部小水力(註6),South
南鹽光,South
台中#1,Central
台中#10,Central
台中#2,Central
台中#3,Central
台中#4,Central
台中#5,Central
台中#6,Central
台中#7,Central
台中#8,Central
台中#9,Central
台中Gas1&2,Central
台中Gas1+2,Central
台中Gas3&4,Central
台中Gas3+4,Central
台中港,Central
台中龍井,Central
台南鹽田,South
台電自有地熱,East
名間,Central
后里,Central
向陽光(註10),South
和平#1,East
和平#2,East
嘉南西口、烏山頭和八田,South
嘉惠#1,South
嘉惠#2,South
四湖,Central
國光#1,North
大林#1,South
大林#2,South
大林#5,South
大林#6,South
大潭,North
大潭CC#1,North
大潭CC#2,North
大潭CC#3,North
大潭CC#4,North
大潭CC#5,North
大潭CC#6,North
大潭CC#7,North
大潭CC#7(註10),North
大潭CC#8,North
大潭CC#9(註10),North
大潭生水池,North
大觀一#1,Central
大觀一#2,Central
大觀一#3,Central
大觀一#4,Central
大觀一#5,Central
大觀二#1,Central
大觀二#2,Central
大觀二#3,Central
大觀二#4,Central
天篷光,South
天英光(註10),South
天衝光,South
天輪#1,Central
天輪#2,Central
天輪#3,Central
天輪#4,Central
天輪#5,Central
寶興光(註10),South
尖山,Islands
崙尾光,Central
廷和光(註10),South
彰工,Central
彰林ES,Central
彰濱,Central
彰濱光,Central
德基#1,Central
德基#2,Central
德基#3,Central
志光光(註10),Central
恆春,South
捷祥關山,East
新伯公,North
新和光(註10),South
新桃#1,North
新源崙背,Central
明潭#1,Central
明潭#2,Central
明潭#3,Central
明潭#4,Central
明潭#5,Central
明潭#6,Central
星元#1,Central
星崙光(註10),Central
星崴光(註10),Central
星彰#1,Central
星股光(註10),South
昱昶光(註10),Central
曾文#1,South
東部小水力,East
東部小水力(註6),East
松林#1&2,Central
松林#1+2,Central
林口,North
林口#1,North
林口#2,North
林口#3,North
核一Gas1,North
核一Gas2,North
核三#1,South
核三#2,South
核三Gas1,South
核三Gas2,South
核三廠,South
核二Gas1,North
核二Gas2,North
民雄,South
水里#1,Central
永堯光(註10),Central
永安鹽灘,South
汽電共生,Other
沃一風,Central
沃二風,Central
海洋竹南,Central
海湖#1,North
海湖#2,North
海能風,Central
澎湖中屯,Islands
澎湖尖山(註4),Islands
澎湖湖西,Islands
烏來&桂山&粗坑,North
烏來+桂山+粗坑,North
燕巢倉庫,South
王功,Central
生利光(註10),South
生質能(Biofuel),Other
石門,North
石門#1,North
石門#2,North
碧海,East
碩力光(註10),South
立霧#1,East
立霧#1+#2,East
竹工ES,North
義興#1,North
翡翠#1,North
聯華光(註10),South
興達,South
興達#1,South
興達#1(註15),South
興達#2,South
興達#2(註15),South
興達#3,South
興達#3(註12),South
興達#4,South
興達#4(註12),South
興達CC#1,South
興達CC#2,South
興達CC#3,South
興達CC#4,South
興達CC#5,South
興達新CC#1(註10),South
芳一風,Central
芳二風,Central
苗栗大鵬,Central
萬大#1,Central
萬大#2,Central
萬大#3,Central
萬大#4,Central
蘆竹,North
觀園,North
觀威觀音&桃威新屋,North
谷關#1,Central
谷關#2,Central
谷關#3,Central
谷關#4,Central
豐德#1,Central
豐德#2,Central
豐德#3,Central
購電地熱,East
路北,South
通霄CC#1,Central
通霄CC#2,Central
通霄CC#3,Central
通霄CC#4,Central
通霄CC#5,Central
通霄CC#6,Central
通霄GT#9,Central
金門,Islands
金門塔山, Island
金門塔山(註4),Islands
金門金沙,Islands
鉅工#1,Central
鉅工#2,Central
離岸一期,Central
雲麥,Central
電池(註16),Other
青山#1,Central
青山#2,Central
青山#3,Central
青山#4,Central
香山,North
馬祖珠山, Island
馬祖珠山(註4),Islands
馬鞍#1,Central
馬鞍#2,Central
高雄ES,South
鹿威彰濱,Central
麥寮#1,Central
麥寮#3,Central
龍A風,Central
龍A風(註10),Central
龍潭ES,North
龍澗#1,East
龍澗#2,East